onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
38	2	67	1	G	0	4	2	1	1	True	2.5	0	3	3	3	3a	19	1/4	False	4	False				False	9	IV		d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	2	2	2	-1	-1	-1	True	True	True
40	2	57	3	A	0	4	2	2	2	True	3.0	0	3	3	3	3a	20	1/4	False	3	True				False	10	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
40	8	60	0	C	0	4	2	2	1	True	3.0	0	3	3	3	3a	20	1	False	4	True				False	10	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	-2	-2	-2	True	False	False
40	2	72	0	C	0	4	2	1	1	True	3.0	0	3	3	3	3a	20	1/4	False	5	True				False	10	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	-2	-2	-2	True	False	False
42	2	55	1	G	0	4	2	2	2	True	3.5	0	3	3	3	3a	21	1/4	False	3	True				False	11	VII64		d	i		VII64	VII		64			M	True	True	(-1, -2, 2)	()	-2	-1	minor	minor	i	i, minor	VII		i	i	True	VII64	VII64, minor		VII64, minor		VII	2	2	2	-1	-1	-1	True	False	True
42	2	64	4	E	0	4	2	1	1	True	3.5	0	3	3	3	3a	21	1/4	False	4	True				False	11	VII64		d	i		VII64	VII		64			M	True	True	(-1, -2, 2)	()	-2	-1	minor	minor	i	i, minor	VII		i	i	True	VII64	VII64, minor		VII64, minor		VII	2	2	2	2	2	2	True	False	False
44	2	53	-1	F	0	4	2	2	2	True	4.0	0	3	3	3	3a	22	1/4	False	3	True				False	12	III		d	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	2	2	2	-3	-3	-3	True	True	True
44	4	69	3	A	0	4	2	1	1	True	4.0	0	3	3	3	3a	22	1/2	False	4	True				False	12	III		d	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	2	2	2	1	1	1	True	False	False
46	2	52	4	E	0	4	2	2	2	True	4.5	0	3	3	3	3a	23	1/4	False	3	True				False	13	v64		d	i		v64	v		64			m	True	True	(2, 1, -2)	()	1	2	minor	minor	i	i, minor	v		i	i	True	v64	v64, minor		v64, minor		v	2	2	2	2	2	2	True	False	True
48	4	50	2	D	0	4	2	2	2	True	1.0	0	4	4	4	4a	24	1/2	False	3	True				False	14	iv64(2)		d	i		iv64(2)	iv		64	2		m	True	True	(0, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor		iv64(2), minor		iv	2	2	2	0	0	0	True	False	True
